"행정구역","2022년10월_남_총인구수","2022년10월_남_연령구간인구수","2022년10월_남_0세","2022년10월_남_1세","2022년10월_남_2세","2022년10월_남_3세","2022년10월_남_4세","2022년10월_남_5세","2022년10월_남_6세","2022년10월_남_7세","2022년10월_남_8세","2022년10월_남_9세","2022년10월_남_10세","2022년10월_남_11세","2022년10월_남_12세","2022년10월_남_13세","2022년10월_남_14세","2022년10월_남_15세","2022년10월_남_16세","2022년10월_남_17세","2022년10월_남_18세","2022년10월_남_19세","2022년10월_남_20세","2022년10월_남_21세","2022년10월_남_22세","2022년10월_남_23세","2022년10월_남_24세","2022년10월_남_25세","2022년10월_남_26세","2022년10월_남_27세","2022년10월_남_28세","2022년10월_남_29세","2022년10월_남_30세","2022년10월_남_31세","2022년10월_남_32세","2022년10월_남_33세","2022년10월_남_34세","2022년10월_남_35세","2022년10월_남_36세","2022년10월_남_37세","2022년10월_남_38세","2022년10월_남_39세","2022년10월_남_40세","2022년10월_남_41세","2022년10월_남_42세","2022년10월_남_43세","2022년10월_남_44세","2022년10월_남_45세","2022년10월_남_46세","2022년10월_남_47세","2022년10월_남_48세","2022년10월_남_49세","2022년10월_남_50세","2022년10월_남_51세","2022년10월_남_52세","2022년10월_남_53세","2022년10월_남_54세","2022년10월_남_55세","2022년10월_남_56세","2022년10월_남_57세","2022년10월_남_58세","2022년10월_남_59세","2022년10월_남_60세","2022년10월_남_61세","2022년10월_남_62세","2022년10월_남_63세","2022년10월_남_64세","2022년10월_남_65세","2022년10월_남_66세","2022년10월_남_67세","2022년10월_남_68세","2022년10월_남_69세","2022년10월_남_70세","2022년10월_남_71세","2022년10월_남_72세","2022년10월_남_73세","2022년10월_남_74세","2022년10월_남_75세","2022년10월_남_76세","2022년10월_남_77세","2022년10월_남_78세","2022년10월_남_79세","2022년10월_남_80세","2022년10월_남_81세","2022년10월_남_82세","2022년10월_남_83세","2022년10월_남_84세","2022년10월_남_85세","2022년10월_남_86세","2022년10월_남_87세","2022년10월_남_88세","2022년10월_남_89세","2022년10월_남_90세","2022년10월_남_91세","2022년10월_남_92세","2022년10월_남_93세","2022년10월_남_94세","2022년10월_남_95세","2022년10월_남_96세","2022년10월_남_97세","2022년10월_남_98세","2022년10월_남_99세","2022년10월_남_100세 이상","2022년10월_여_총인구수","2022년10월_여_연령구간인구수","2022년10월_여_0세","2022년10월_여_1세","2022년10월_여_2세","2022년10월_여_3세","2022년10월_여_4세","2022년10월_여_5세","2022년10월_여_6세","2022년10월_여_7세","2022년10월_여_8세","2022년10월_여_9세","2022년10월_여_10세","2022년10월_여_11세","2022년10월_여_12세","2022년10월_여_13세","2022년10월_여_14세","2022년10월_여_15세","2022년10월_여_16세","2022년10월_여_17세","2022년10월_여_18세","2022년10월_여_19세","2022년10월_여_20세","2022년10월_여_21세","2022년10월_여_22세","2022년10월_여_23세","2022년10월_여_24세","2022년10월_여_25세","2022년10월_여_26세","2022년10월_여_27세","2022년10월_여_28세","2022년10월_여_29세","2022년10월_여_30세","2022년10월_여_31세","2022년10월_여_32세","2022년10월_여_33세","2022년10월_여_34세","2022년10월_여_35세","2022년10월_여_36세","2022년10월_여_37세","2022년10월_여_38세","2022년10월_여_39세","2022년10월_여_40세","2022년10월_여_41세","2022년10월_여_42세","2022년10월_여_43세","2022년10월_여_44세","2022년10월_여_45세","2022년10월_여_46세","2022년10월_여_47세","2022년10월_여_48세","2022년10월_여_49세","2022년10월_여_50세","2022년10월_여_51세","2022년10월_여_52세","2022년10월_여_53세","2022년10월_여_54세","2022년10월_여_55세","2022년10월_여_56세","2022년10월_여_57세","2022년10월_여_58세","2022년10월_여_59세","2022년10월_여_60세","2022년10월_여_61세","2022년10월_여_62세","2022년10월_여_63세","2022년10월_여_64세","2022년10월_여_65세","2022년10월_여_66세","2022년10월_여_67세","2022년10월_여_68세","2022년10월_여_69세","2022년10월_여_70세","2022년10월_여_71세","2022년10월_여_72세","2022년10월_여_73세","2022년10월_여_74세","2022년10월_여_75세","2022년10월_여_76세","2022년10월_여_77세","2022년10월_여_78세","2022년10월_여_79세","2022년10월_여_80세","2022년10월_여_81세","2022년10월_여_82세","2022년10월_여_83세","2022년10월_여_84세","2022년10월_여_85세","2022년10월_여_86세","2022년10월_여_87세","2022년10월_여_88세","2022년10월_여_89세","2022년10월_여_90세","2022년10월_여_91세","2022년10월_여_92세","2022년10월_여_93세","2022년10월_여_94세","2022년10월_여_95세","2022년10월_여_96세","2022년10월_여_97세","2022년10월_여_98세","2022년10월_여_99세","2022년10월_여_100세 이상"
"부산광역시  (2600000000)","1,622,749","1,622,749","6,989","7,712","8,298","8,915","10,216","11,284","12,820","13,656","13,505","13,435","14,694","14,153","13,669","12,970","13,559","13,761","12,666","12,697","13,917","14,527","14,929","17,986","20,561","20,253","21,151","21,367","22,528","22,100","22,498","22,830","22,820","21,294","20,307","19,757","18,827","18,663","19,212","19,579","20,742","23,188","25,615","26,543","27,210","25,303","23,322","23,187","22,428","24,062","26,319","26,298","27,075","28,203","27,823","27,626","27,976","25,589","25,856","25,079","24,081","26,959","28,062","30,305","30,280","27,813","26,628","26,887","24,632","25,546","21,852","18,827","20,338","15,802","15,934","15,968","15,233","14,277","10,631","10,110","10,311","10,104","10,400","8,004","6,790","6,111","4,766","4,006","3,165","2,502","1,954","1,410","1,062","730","519","442","277","169","101","57","47","38","70","1,699,537","1,699,537","6,673","7,225","7,762","8,723","9,650","10,781","12,314","12,876","12,759","12,803","13,822","13,744","12,731","12,184","12,803","13,166","11,909","11,920","13,111","13,672","14,495","17,189","19,544","18,844","19,843","20,318","20,707","20,522","20,786","20,615","21,303","19,722","18,828","18,483","17,801","18,116","17,981","18,720","20,024","22,707","24,919","25,547","26,551","25,035","22,390","22,557","21,843","24,000","26,056","26,796","26,846","28,854","28,565","28,991","29,514","28,125","26,386","27,536","25,680","28,558","30,335","34,446","34,562","30,886","29,380","29,886","27,820","29,773","23,675","22,140","23,392","18,592","18,663","19,294","18,470","17,719","12,695","12,727","13,282","13,465","14,622","11,900","10,649","10,054","8,269","7,466","6,417","5,900","4,708","3,645","3,169","2,321","1,831","1,589","1,259","927","503","408","240","209","324"
"부산광역시 중구 (2611000000)","19,377","19,377","51","29","37","36","54","65","64","72","73","71","87","85","76","89","84","74","92","90","100","128","138","191","235","230","269","291","335","365","339","319","362","321","264","227","223","201","184","207","177","217","254","253","277","236","237","226","238","297","287","351","363","341","321","399","348","307","336","295","300","360","382","376","416","390","393","395","343","417","341","279","308","227","256","232","222","205","185","169","183","175","169","139","119","105","83","59","52","35","36","24","24","19","16","9","7","5","0","0","2","1","1","20,559","20,559","33","35","32","35","31","54","52","55","72","81","72","80","88","78","82","90","81","88","101","136","166","227","286","311","368","356","362","310","335","319","321","254","223","191","180","190","169","185","179","204","186","197","234","199","200","204","198","239","259","279","280","331","335","313","324","321","299","335","269","347","392","459","447","397","434","470","374","460","347","343","356","302","322","336","317","276","237","229","233","231","276","221","179","180","152","133","109","96","81","53","56","37","38","29","38","15","15","6","2","13","7"
"부산광역시 서구 (2614000000)","50,911","50,911","192","212","192","234","228","281","344","371","335","371","371","388","347","345","328","373","345","331","389","417","426","517","639","642","642","658","697","615","651","645","656","555","562","529","515","477","503","510","521","628","685","727","794","760","617","649","675","705","803","845","866","874","916","895","899","880","832","811","815","932","969","1,005","1,116","913","933","893","904","881","817","675","773","607","619","638","570","577","431","384","446","412","457","336","294","279","209","197","163","126","90","70","54","24","24","22","9","9","4","5","4","4","6","54,447","54,447","145","175","209","216","232","280","298","305","323","288","367","350","345","298","357","348","321","325","405","415","454","640","669","681","748","687","709","638","632","615","614","505","525","483","472","453","416","508","547","604","695","702","739","666","627","629","585","647","761","814","775","856","817","852","843","791","811","856","823","884","926","1,146","1,201","1,100","1,001","1,049","975","1,123","913","807","919","751","750","789","728","740","556","553","575","647","635","554","494","492","385","326","296","283","188","167","144","113","74","80","61","61","15","20","18","8","9"
"부산광역시 동구 (2617000000)","42,512","42,512","179","200","159","165","205","212","220","233","200","231","258","237","219","196","238","260","224","232","271","283","310","418","379","421","498","476","578","577","617","640","666","584","588","549","506","490","493","519","519","610","612","652","620","651","550","551","559","636","644","669","759","756","766","795","773","708","701","672","644","706","755","827","876","805","774","834","739","730","636","599","641","549","503","540","526","439","376","327","375","375","397","293","242","236","171","164","141","92","60","69","36","27","21","14","15","4","7","3","2","2","6","44,436","44,436","197","161","153","174","140","196","203","217","215","200","232","210","215","199","214","261","220","200","245","277","290","384","448","423","486","567","613","563","618","575","632","595","520","513","427","456","411","450","475","497","538","503","516","519","484","482","460","514","612","616","630","707","649","732","691","716","635","659","616","714","800","928","937","860","806","889","838","918","723","699","790","642","610","682","654","660","456","518","536","516","597","495","450","432","332","285","282","244","183","143","134","87","57","55","48","40","18","6","6","3","12"
"부산광역시 영도구 (2620000000)","53,391","53,391","141","155","176","178","235","229","273","308","321","295","361","340","359","322","340","370","332","324","380","414","431","544","627","586","651","611","608","569","632","610","679","524","523","490","485","477","523","524","563","629","689","735","762","673","686","668","665","767","869","855","915","957","930","883","992","953","995","860","826","996","1,060","1,175","1,221","1,089","1,111","1,079","1,043","1,084","943","785","880","703","723","757","689","707","500","489","478","517","512","416","314","287","248","172","156","122","104","55","51","41","19","17","8","10","5","1","1","3","1","55,114","55,114","142","154","164","208","220","228","286","266","288","308","307","366","331","305","317","335","338","318","383","336","399","455","504","471","511","494","494","526","483","468","485","492","427","436","428","397","396","472","473","569","625","665","713","654","602","579","625","715","781","805","823","812","841","907","925","864","819","922","825","952","1,104","1,259","1,265","1,217","1,135","1,176","1,152","1,319","1,017","936","1,019","865","874","939","866","918","664","673","684","722","771","632","595","529","368","397","319","273","219","173","158","89","82","87","62","45","29","15","8","11","14"
"부산광역시 부산진구 (2623000000)","170,113","170,113","739","787","830","826","1,036","1,002","1,154","1,189","1,179","1,120","1,230","1,231","1,171","1,131","1,177","1,188","1,134","1,099","1,368","1,410","1,432","1,875","2,311","2,249","2,415","2,555","2,765","2,774","2,818","2,973","2,901","2,688","2,559","2,441","2,303","2,254","2,197","2,274","2,275","2,476","2,649","2,651","2,711","2,528","2,341","2,252","2,222","2,444","2,701","2,644","2,779","2,844","2,907","2,818","2,794","2,524","2,639","2,641","2,518","2,767","2,870","3,179","3,077","2,863","2,747","2,793","2,608","2,656","2,297","1,888","2,100","1,641","1,681","1,706","1,581","1,471","1,058","1,039","1,087","1,063","1,126","891","741","675","509","435","348","290","236","163","143","79","54","45","28","12","6","5","3","4","5","183,455","183,455","703","764","765","858","911","977","1,107","1,160","1,138","1,117","1,264","1,233","1,089","1,074","1,163","1,203","1,111","1,113","1,227","1,401","1,619","2,097","2,489","2,511","2,729","2,959","2,955","2,953","2,990","2,850","2,916","2,716","2,413","2,411","2,159","2,152","2,021","2,086","2,106","2,412","2,490","2,526","2,582","2,518","2,112","2,215","2,238","2,372","2,636","2,685","2,820","2,978","2,863","2,930","3,021","2,907","2,777","2,881","2,646","2,908","3,181","3,640","3,707","3,344","3,114","3,141","2,896","3,056","2,447","2,349","2,403","1,996","1,936","2,059","1,985","1,902","1,376","1,402","1,425","1,449","1,714","1,326","1,218","1,155","920","854","686","628","456","398","298","257","175","169","115","98","40","42","28","13","30"
"부산광역시 동래구 (2626000000)","132,632","132,632","634","696","802","831","892","1,013","1,240","1,294","1,316","1,319","1,441","1,336","1,425","1,240","1,387","1,370","1,217","1,226","1,319","1,293","1,291","1,463","1,588","1,574","1,492","1,578","1,675","1,669","1,620","1,763","1,729","1,631","1,539","1,591","1,505","1,495","1,622","1,651","1,690","1,941","2,169","2,272","2,419","2,177","1,998","1,984","1,892","2,105","2,300","2,219","2,361","2,344","2,286","2,285","2,201","2,039","1,945","1,893","1,761","1,947","2,102","2,234","2,223","2,155","2,004","2,086","1,805","1,931","1,689","1,440","1,598","1,252","1,244","1,258","1,218","1,125","843","846","818","749","782","629","549","464","339","306","262","177","136","99","81","58","49","28","19","17","4","11","2","1","4","141,158","141,158","617","656","699","822","847","1,062","1,156","1,235","1,219","1,222","1,296","1,309","1,254","1,178","1,234","1,285","1,163","1,079","1,218","1,226","1,185","1,333","1,462","1,443","1,528","1,574","1,581","1,552","1,611","1,587","1,655","1,545","1,540","1,500","1,508","1,492","1,576","1,568","1,788","2,078","2,345","2,198","2,462","2,362","2,077","2,039","2,085","2,247","2,312","2,357","2,292","2,505","2,383","2,392","2,336","2,293","2,075","2,226","2,016","2,219","2,422","2,679","2,689","2,427","2,306","2,296","2,250","2,438","1,879","1,799","1,840","1,531","1,514","1,466","1,439","1,322","958","909","1,004","982","1,055","852","771","676","572","510","455","440","362","285","210","164","154","118","87","68","41","32","12","19","21"
"부산광역시 남구 (2629000000)","125,514","125,514","419","454","560","590","747","816","957","1,080","1,061","1,094","1,163","1,106","1,202","1,065","1,134","1,250","1,067","1,098","1,158","1,246","1,281","1,541","1,986","2,022","2,112","1,938","1,844","1,721","1,576","1,597","1,574","1,412","1,325","1,335","1,182","1,245","1,312","1,307","1,433","1,648","1,867","1,971","2,047","1,919","1,817","1,796","1,728","2,032","2,209","2,216","2,248","2,277","2,179","2,276","2,157","1,964","1,873","1,824","1,820","1,888","1,948","2,084","2,163","2,008","1,954","2,018","1,783","1,900","1,642","1,453","1,555","1,238","1,286","1,304","1,202","1,171","866","844","885","898","925","665","615","531","435","352","265","201","168","114","86","55","42","36","22","7","6","5","6","6","4","131,633","131,633","390","483","506","598","641","809","969","976","1,003","1,033","1,163","1,163","1,075","1,022","1,040","1,097","1,020","1,013","1,080","1,312","1,421","1,683","1,949","1,721","1,580","1,519","1,513","1,472","1,376","1,406","1,402","1,255","1,233","1,197","1,084","1,239","1,231","1,289","1,388","1,645","1,861","1,966","2,031","2,061","1,808","1,880","1,789","1,882","2,149","2,202","2,116","2,363","2,271","2,201","2,221","2,015","1,978","1,937","1,846","2,081","2,176","2,446","2,629","2,297","2,267","2,326","2,202","2,324","1,857","1,699","1,915","1,546","1,582","1,589","1,527","1,470","1,051","1,101","1,195","1,236","1,144","932","839","800","662","581","520","459","382","253","246","169","133","123","96","80","39","35","12","9","30"
"부산광역시 북구 (2632000000)","137,808","137,808","656","700","677","772","864","964","1,054","1,115","1,079","1,074","1,177","1,121","1,091","1,064","1,100","1,079","1,135","1,175","1,200","1,300","1,291","1,622","1,805","1,689","1,809","1,818","1,903","1,927","1,944","1,923","1,994","1,979","1,799","1,750","1,605","1,608","1,570","1,684","1,754","1,854","2,008","2,040","2,060","1,972","1,771","1,869","1,725","1,913","2,020","2,071","2,052","2,272","2,335","2,396","2,490","2,378","2,468","2,433","2,316","2,681","2,747","3,152","2,989","2,695","2,460","2,492","2,198","2,239","1,862","1,582","1,705","1,274","1,361","1,175","1,113","1,079","830","737","725","750","782","571","464","410","321","269","214","179","137","100","58","39","26","25","17","12","12","1","7","1","3","141,962","141,962","613","647","708","708","834","888","1,018","1,006","1,024","1,001","1,065","1,028","993","1,071","1,067","1,076","982","1,032","1,093","1,132","1,210","1,405","1,515","1,444","1,561","1,620","1,692","1,720","1,703","1,722","1,850","1,614","1,625","1,613","1,596","1,501","1,491","1,468","1,524","1,683","1,910","1,959","2,003","1,976","1,705","1,748","1,675","1,976","2,088","2,366","2,260","2,536","2,667","2,796","2,934","2,802","2,695","2,756","2,582","2,839","2,881","3,276","3,162","2,751","2,562","2,528","2,322","2,476","1,936","1,672","1,785","1,381","1,427","1,433","1,381","1,296","934","869","945","965","1,121","864","753","728","616","510","504","445","391","272","257","186","123","114","91","60","31","36","17","18","27"
"부산광역시 해운대구 (2635000000)","186,088","186,088","745","842","987","1,055","1,198","1,364","1,547","1,711","1,684","1,837","1,907","1,904","1,849","1,792","1,877","1,936","1,785","1,778","1,889","1,912","1,953","2,280","2,396","2,284","2,254","2,232","2,407","2,334","2,378","2,320","2,323","2,126","2,012","2,017","1,962","1,938","1,987","2,035","2,307","2,460","2,877","2,957","3,088","2,847","2,794","2,901","2,861","2,865","3,165","3,249","3,390","3,569","3,524","3,448","3,403","3,061","3,022","2,962","2,798","3,217","3,214","3,314","3,296","3,047","2,947","2,827","2,827","2,715","2,332","1,966","2,101","1,610","1,634","1,644","1,626","1,479","1,029","1,105","1,115","993","1,012","807","723","675","538","440","347","292","231","167","130","85","61","58","30","32","10","5","6","4","12","201,752","201,752","710","811","921","1,020","1,190","1,231","1,489","1,643","1,583","1,621","1,773","1,800","1,734","1,669","1,824","1,836","1,707","1,716","1,817","1,726","1,691","1,966","2,116","2,040","2,098","2,179","2,245","2,152","2,201","2,237","2,278","2,117","2,028","2,027","2,013","2,111","2,141","2,214","2,403","2,731","2,983","3,196","3,467","3,279","2,956","3,007","2,915","3,290","3,655","3,572","3,722","3,987","3,855","3,727","3,754","3,578","3,223","3,362","3,164","3,521","3,457","3,825","3,782","3,375","3,299","3,286","3,000","3,210","2,472","2,384","2,559","1,851","1,956","2,109","1,941","1,861","1,287","1,372","1,382","1,484","1,572","1,319","1,148","1,098","971","852","744","679","507","447","376","254","223","177","162","109","62","46","29","27","36"
