"행정구역","2022년09월_계_총인구수","2022년09월_계_연령구간인구수","2022년09월_계_0세","2022년09월_계_1세","2022년09월_계_2세","2022년09월_계_3세","2022년09월_계_4세","2022년09월_계_5세","2022년09월_계_6세","2022년09월_계_7세","2022년09월_계_8세","2022년09월_계_9세","2022년09월_계_10세","2022년09월_계_11세","2022년09월_계_12세","2022년09월_계_13세","2022년09월_계_14세","2022년09월_계_15세","2022년09월_계_16세","2022년09월_계_17세","2022년09월_계_18세","2022년09월_계_19세","2022년09월_계_20세","2022년09월_계_21세","2022년09월_계_22세","2022년09월_계_23세","2022년09월_계_24세","2022년09월_계_25세","2022년09월_계_26세","2022년09월_계_27세","2022년09월_계_28세","2022년09월_계_29세","2022년09월_계_30세","2022년09월_계_31세","2022년09월_계_32세","2022년09월_계_33세","2022년09월_계_34세","2022년09월_계_35세","2022년09월_계_36세","2022년09월_계_37세","2022년09월_계_38세","2022년09월_계_39세","2022년09월_계_40세","2022년09월_계_41세","2022년09월_계_42세","2022년09월_계_43세","2022년09월_계_44세","2022년09월_계_45세","2022년09월_계_46세","2022년09월_계_47세","2022년09월_계_48세","2022년09월_계_49세","2022년09월_계_50세","2022년09월_계_51세","2022년09월_계_52세","2022년09월_계_53세","2022년09월_계_54세","2022년09월_계_55세","2022년09월_계_56세","2022년09월_계_57세","2022년09월_계_58세","2022년09월_계_59세","2022년09월_계_60세","2022년09월_계_61세","2022년09월_계_62세","2022년09월_계_63세","2022년09월_계_64세","2022년09월_계_65세","2022년09월_계_66세","2022년09월_계_67세","2022년09월_계_68세","2022년09월_계_69세","2022년09월_계_70세","2022년09월_계_71세","2022년09월_계_72세","2022년09월_계_73세","2022년09월_계_74세","2022년09월_계_75세","2022년09월_계_76세","2022년09월_계_77세","2022년09월_계_78세","2022년09월_계_79세","2022년09월_계_80세","2022년09월_계_81세","2022년09월_계_82세","2022년09월_계_83세","2022년09월_계_84세","2022년09월_계_85세","2022년09월_계_86세","2022년09월_계_87세","2022년09월_계_88세","2022년09월_계_89세","2022년09월_계_90세","2022년09월_계_91세","2022년09월_계_92세","2022년09월_계_93세","2022년09월_계_94세","2022년09월_계_95세","2022년09월_계_96세","2022년09월_계_97세","2022년09월_계_98세","2022년09월_계_99세","2022년09월_계_100세 이상"
"부산광역시  (2600000000)","3,323,826","3,323,826","13,606","14,938","16,243","17,733","20,081","22,226","25,454","26,470","26,276","26,546","28,253","28,141","25,931","25,418","26,639","26,562","24,470","24,819","27,267","27,953","29,791","35,862","40,031","38,998","41,252","42,088","43,233","42,650","43,401","43,688","44,031","40,355","39,502","38,081","36,617","36,626","37,481","38,377","41,302","46,179","50,702","52,700","53,535","49,480","45,992","45,406","44,465","48,345","52,744","53,414","54,050","57,312","56,094","57,249","56,622","53,420","52,498","52,392","49,757","57,184","57,124","65,868","64,482","58,776","55,852","56,516","52,304","54,852","44,855","41,280","43,264","34,072","34,888","35,074","33,829","31,531","22,388","23,633","23,369","24,491","24,124","19,868","17,319","15,980","12,998","11,432","9,528","8,384","6,579","5,017","4,239","3,001","2,361","2,003","1,553","1,071","596","463","285","255","390"
"부산광역시 중구 (2611000000)","40,117","40,117","81","64","74","78","89","118","111","136","153","139","170","168","163","167","172","164","178","176","211","268","320","417","537","537","650","643","692","678","671","658","673","581","473","425","411","381","369","400","353","430","450","463","498","439","439","431","457","529","548","644","641","685","662","714","669","626","634","623","577","748","758","832","852","805","825","844","733","879","679","631","661","533","569","565","547","488","397","409","420","427","428","361","292","291","230","186","162","126","116","80","78","54","54","39","44","19","15","6","4","14","8"
"부산광역시 서구 (2614000000)","105,380","105,380","328","388","392","455","461","565","649","679","662","662","722","751","676","666","690","705","666","661","805","830","910","1,161","1,322","1,304","1,406","1,378","1,406","1,246","1,292","1,256","1,249","1,035","1,102","1,012","979","939","902","1,046","1,072","1,242","1,385","1,451","1,548","1,383","1,247","1,283","1,248","1,397","1,555","1,685","1,646","1,735","1,707","1,770","1,706","1,675","1,648","1,647","1,637","1,871","1,831","2,211","2,283","2,036","1,932","1,953","1,859","2,002","1,698","1,502","1,667","1,342","1,400","1,397","1,316","1,298","932","969","1,038","1,076","1,056","888","797","750","587","528","461","408","271","235","199","126","107","98","70","66","18","31","18","13","15"
"부산광역시 동구 (2617000000)","87,103","87,103","373","356","316","341","345","420","426","454","420","435","485","447","430","395","469","520","428","433","535","563","611","803","860","835","985","1,080","1,172","1,153","1,222","1,249","1,266","1,183","1,148","1,023","954","949","935","951","1,022","1,104","1,152","1,159","1,157","1,159","1,034","1,037","1,019","1,146","1,282","1,287","1,414","1,451","1,419","1,545","1,421","1,413","1,350","1,318","1,264","1,460","1,523","1,791","1,803","1,676","1,585","1,720","1,568","1,640","1,350","1,298","1,417","1,172","1,137","1,217","1,184","1,078","805","880","903","929","954","787","690","649","504","457","421","334","244","208","170","112","71","73","64","42","25","7","8","6","18"
"부산광역시 영도구 (2620000000)","108,699","108,699","291","305","347","381","462","474","570","562","615","602","677","706","667","631","670","697","674","641","782","744","841","1,021","1,144","1,041","1,164","1,115","1,123","1,096","1,100","1,111","1,149","1,013","966","916","910","885","922","1,003","1,056","1,196","1,310","1,431","1,448","1,333","1,282","1,238","1,308","1,476","1,677","1,677","1,728","1,793","1,755","1,819","1,893","1,797","1,835","1,774","1,679","1,996","2,109","2,531","2,461","2,304","2,241","2,252","2,201","2,368","1,925","1,737","1,908","1,547","1,616","1,665","1,586","1,595","1,135","1,203","1,141","1,279","1,248","1,048","913","819","614","561","467","394","331","229","202","131","106","102","64","58","31","18","9","15","16"
"부산광역시 부산진구 (2623000000)","351,125","351,125","1,402","1,491","1,537","1,613","1,913","1,954","2,261","2,323","2,275","2,245","2,454","2,444","2,252","2,207","2,372","2,346","2,210","2,230","2,594","2,790","3,063","4,065","4,717","4,773","5,197","5,470","5,739","5,716","5,758","5,832","5,741","5,245","4,935","4,702","4,392","4,296","4,175","4,231","4,368","4,786","5,121","5,104","5,241","4,905","4,466","4,449","4,416","4,822","5,369","5,354","5,529","5,844","5,710","5,748","5,746","5,384","5,360","5,517","5,111","5,821","5,924","6,895","6,745","6,162","5,858","5,882","5,488","5,631","4,646","4,275","4,461","3,584","3,675","3,729","3,531","3,339","2,318","2,522","2,489","2,620","2,731","2,209","1,964","1,813","1,414","1,272","1,040","895","691","552","453","323","226","206","151","105","48","44","30","17","36"
"부산광역시 동래구 (2626000000)","274,136","274,136","1,251","1,358","1,506","1,686","1,784","2,102","2,387","2,542","2,562","2,525","2,719","2,726","2,584","2,476","2,619","2,614","2,392","2,309","2,542","2,483","2,491","2,882","3,052","2,964","3,062","3,188","3,243","3,244","3,249","3,352","3,397","3,127","3,107","3,121","2,977","2,982","3,217","3,254","3,548","4,089","4,455","4,577","4,857","4,467","4,114","3,984","4,016","4,341","4,666","4,579","4,685","4,851","4,664","4,708","4,496","4,297","4,070","4,106","3,749","4,324","4,409","4,980","4,941","4,605","4,243","4,390","4,051","4,353","3,533","3,255","3,376","2,769","2,777","2,717","2,647","2,422","1,748","1,819","1,809","1,776","1,793","1,477","1,290","1,131","893","821","716","622","482","379","293","222","202","142","104","85","46","41","16","18","24"
"부산광역시 남구 (2629000000)","257,934","257,934","795","952","1,069","1,225","1,430","1,635","1,957","2,050","2,093","2,144","2,334","2,275","2,274","2,121","2,185","2,302","2,085","2,143","2,277","2,550","2,710","3,310","3,923","3,714","3,672","3,531","3,319","3,180","3,010","3,000","2,989","2,655","2,598","2,520","2,278","2,495","2,572","2,616","2,889","3,342","3,713","4,023","4,085","3,934","3,676","3,650","3,536","3,973","4,390","4,411","4,381","4,700","4,442","4,498","4,296","3,985","3,872","3,756","3,675","4,072","4,103","4,580","4,770","4,347","4,204","4,345","3,981","4,209","3,433","3,232","3,421","2,753","2,920","2,896","2,729","2,618","1,850","2,018","2,080","2,175","1,999","1,614","1,446","1,309","1,110","912","786","668","530","367","332","219","179","155","119","90","41","42","17","17","31"
"부산광역시 북구 (2632000000)","279,964","279,964","1,255","1,339","1,423","1,477","1,720","1,861","2,106","2,123","2,087","2,098","2,212","2,199","2,006","2,212","2,162","2,155","2,084","2,229","2,314","2,403","2,590","3,052","3,318","3,164","3,361","3,514","3,598","3,674","3,665","3,652","3,868","3,504","3,446","3,331","3,171","3,143","3,051","3,168","3,308","3,564","3,948","4,050","4,013","3,888","3,532","3,576","3,440","3,869","4,170","4,465","4,345","4,861","4,924","5,313","5,361","5,172","5,192","5,182","4,885","5,684","5,529","6,535","6,050","5,455","4,969","4,978","4,473","4,687","3,746","3,280","3,417","2,638","2,784","2,618","2,496","2,344","1,689","1,657","1,646","1,812","1,827","1,418","1,219","1,126","926","791","704","635","510","365","324","221","148","137","108","70","43","38","24","20","30"
"부산광역시 해운대구 (2635000000)","388,393","388,393","1,461","1,665","1,932","2,109","2,401","2,607","3,083","3,356","3,263","3,521","3,630","3,734","3,545","3,478","3,759","3,714","3,506","3,496","3,732","3,579","3,718","4,327","4,502","4,299","4,418","4,456","4,632","4,517","4,581","4,548","4,609","4,203","4,085","4,059","4,007","4,024","4,184","4,243","4,769","5,231","5,924","6,229","6,538","6,068","5,745","5,885","5,826","6,236","6,862","6,848","7,158","7,586","7,277","7,288","7,057","6,556","6,291","6,306","5,957","6,934","6,495","7,298","7,041","6,399","6,227","6,136","5,777","5,870","4,763","4,394","4,575","3,439","3,625","3,747","3,586","3,295","2,232","2,542","2,488","2,577","2,477","2,166","1,820","1,768","1,508","1,305","1,064","957","738","611","490","344","287","230","205","126","73","54","31","34","45"
