행정구역,2022년11월_계_총인구수,2022년11월_계_연령구간인구수,2022년11월_계_0세,2022년11월_계_1세,2022년11월_계_2세,2022년11월_계_3세,2022년11월_계_4세,2022년11월_계_5세,2022년11월_계_6세,2022년11월_계_7세,2022년11월_계_8세,2022년11월_계_9세,2022년11월_계_10세,2022년11월_계_11세,2022년11월_계_12세,2022년11월_계_13세,2022년11월_계_14세,2022년11월_계_15세,2022년11월_계_16세,2022년11월_계_17세,2022년11월_계_18세,2022년11월_계_19세,2022년11월_계_20세,2022년11월_계_21세,2022년11월_계_22세,2022년11월_계_23세,2022년11월_계_24세,2022년11월_계_25세,2022년11월_계_26세,2022년11월_계_27세,2022년11월_계_28세,2022년11월_계_29세,2022년11월_계_30세,2022년11월_계_31세,2022년11월_계_32세,2022년11월_계_33세,2022년11월_계_34세,2022년11월_계_35세,2022년11월_계_36세,2022년11월_계_37세,2022년11월_계_38세,2022년11월_계_39세,2022년11월_계_40세,2022년11월_계_41세,2022년11월_계_42세,2022년11월_계_43세,2022년11월_계_44세,2022년11월_계_45세,2022년11월_계_46세,2022년11월_계_47세,2022년11월_계_48세,2022년11월_계_49세,2022년11월_계_50세,2022년11월_계_51세,2022년11월_계_52세,2022년11월_계_53세,2022년11월_계_54세,2022년11월_계_55세,2022년11월_계_56세,2022년11월_계_57세,2022년11월_계_58세,2022년11월_계_59세,2022년11월_계_60세,2022년11월_계_61세,2022년11월_계_62세,2022년11월_계_63세,2022년11월_계_64세,2022년11월_계_65세,2022년11월_계_66세,2022년11월_계_67세,2022년11월_계_68세,2022년11월_계_69세,2022년11월_계_70세,2022년11월_계_71세,2022년11월_계_72세,2022년11월_계_73세,2022년11월_계_74세,2022년11월_계_75세,2022년11월_계_76세,2022년11월_계_77세,2022년11월_계_78세,2022년11월_계_79세,2022년11월_계_80세,2022년11월_계_81세,2022년11월_계_82세,2022년11월_계_83세,2022년11월_계_84세,2022년11월_계_85세,2022년11월_계_86세,2022년11월_계_87세,2022년11월_계_88세,2022년11월_계_89세,2022년11월_계_90세,2022년11월_계_91세,2022년11월_계_92세,2022년11월_계_93세,2022년11월_계_94세,2022년11월_계_95세,2022년11월_계_96세,2022년11월_계_97세,2022년11월_계_98세,2022년11월_계_99세,2022년11월_계_100세 이상,2022년11월_남_총인구수,2022년11월_남_연령구간인구수,2022년11월_남_0세,2022년11월_남_1세,2022년11월_남_2세,2022년11월_남_3세,2022년11월_남_4세,2022년11월_남_5세,2022년11월_남_6세,2022년11월_남_7세,2022년11월_남_8세,2022년11월_남_9세,2022년11월_남_10세,2022년11월_남_11세,2022년11월_남_12세,2022년11월_남_13세,2022년11월_남_14세,2022년11월_남_15세,2022년11월_남_16세,2022년11월_남_17세,2022년11월_남_18세,2022년11월_남_19세,2022년11월_남_20세,2022년11월_남_21세,2022년11월_남_22세,2022년11월_남_23세,2022년11월_남_24세,2022년11월_남_25세,2022년11월_남_26세,2022년11월_남_27세,2022년11월_남_28세,2022년11월_남_29세,2022년11월_남_30세,2022년11월_남_31세,2022년11월_남_32세,2022년11월_남_33세,2022년11월_남_34세,2022년11월_남_35세,2022년11월_남_36세,2022년11월_남_37세,2022년11월_남_38세,2022년11월_남_39세,2022년11월_남_40세,2022년11월_남_41세,2022년11월_남_42세,2022년11월_남_43세,2022년11월_남_44세,2022년11월_남_45세,2022년11월_남_46세,2022년11월_남_47세,2022년11월_남_48세,2022년11월_남_49세,2022년11월_남_50세,2022년11월_남_51세,2022년11월_남_52세,2022년11월_남_53세,2022년11월_남_54세,2022년11월_남_55세,2022년11월_남_56세,2022년11월_남_57세,2022년11월_남_58세,2022년11월_남_59세,2022년11월_남_60세,2022년11월_남_61세,2022년11월_남_62세,2022년11월_남_63세,2022년11월_남_64세,2022년11월_남_65세,2022년11월_남_66세,2022년11월_남_67세,2022년11월_남_68세,2022년11월_남_69세,2022년11월_남_70세,2022년11월_남_71세,2022년11월_남_72세,2022년11월_남_73세,2022년11월_남_74세,2022년11월_남_75세,2022년11월_남_76세,2022년11월_남_77세,2022년11월_남_78세,2022년11월_남_79세,2022년11월_남_80세,2022년11월_남_81세,2022년11월_남_82세,2022년11월_남_83세,2022년11월_남_84세,2022년11월_남_85세,2022년11월_남_86세,2022년11월_남_87세,2022년11월_남_88세,2022년11월_남_89세,2022년11월_남_90세,2022년11월_남_91세,2022년11월_남_92세,2022년11월_남_93세,2022년11월_남_94세,2022년11월_남_95세,2022년11월_남_96세,2022년11월_남_97세,2022년11월_남_98세,2022년11월_남_99세,2022년11월_남_100세 이상,2022년11월_여_총인구수,2022년11월_여_연령구간인구수,2022년11월_여_0세,2022년11월_여_1세,2022년11월_여_2세,2022년11월_여_3세,2022년11월_여_4세,2022년11월_여_5세,2022년11월_여_6세,2022년11월_여_7세,2022년11월_여_8세,2022년11월_여_9세,2022년11월_여_10세,2022년11월_여_11세,2022년11월_여_12세,2022년11월_여_13세,2022년11월_여_14세,2022년11월_여_15세,2022년11월_여_16세,2022년11월_여_17세,2022년11월_여_18세,2022년11월_여_19세,2022년11월_여_20세,2022년11월_여_21세,2022년11월_여_22세,2022년11월_여_23세,2022년11월_여_24세,2022년11월_여_25세,2022년11월_여_26세,2022년11월_여_27세,2022년11월_여_28세,2022년11월_여_29세,2022년11월_여_30세,2022년11월_여_31세,2022년11월_여_32세,2022년11월_여_33세,2022년11월_여_34세,2022년11월_여_35세,2022년11월_여_36세,2022년11월_여_37세,2022년11월_여_38세,2022년11월_여_39세,2022년11월_여_40세,2022년11월_여_41세,2022년11월_여_42세,2022년11월_여_43세,2022년11월_여_44세,2022년11월_여_45세,2022년11월_여_46세,2022년11월_여_47세,2022년11월_여_48세,2022년11월_여_49세,2022년11월_여_50세,2022년11월_여_51세,2022년11월_여_52세,2022년11월_여_53세,2022년11월_여_54세,2022년11월_여_55세,2022년11월_여_56세,2022년11월_여_57세,2022년11월_여_58세,2022년11월_여_59세,2022년11월_여_60세,2022년11월_여_61세,2022년11월_여_62세,2022년11월_여_63세,2022년11월_여_64세,2022년11월_여_65세,2022년11월_여_66세,2022년11월_여_67세,2022년11월_여_68세,2022년11월_여_69세,2022년11월_여_70세,2022년11월_여_71세,2022년11월_여_72세,2022년11월_여_73세,2022년11월_여_74세,2022년11월_여_75세,2022년11월_여_76세,2022년11월_여_77세,2022년11월_여_78세,2022년11월_여_79세,2022년11월_여_80세,2022년11월_여_81세,2022년11월_여_82세,2022년11월_여_83세,2022년11월_여_84세,2022년11월_여_85세,2022년11월_여_86세,2022년11월_여_87세,2022년11월_여_88세,2022년11월_여_89세,2022년11월_여_90세,2022년11월_여_91세,2022년11월_여_92세,2022년11월_여_93세,2022년11월_여_94세,2022년11월_여_95세,2022년11월_여_96세,2022년11월_여_97세,2022년11월_여_98세,2022년11월_여_99세,2022년11월_여_100세 이상,,
부산광역시  (2600000000),3320276,3320276,13682,14977,15775,17526,19726,21822,24906,26678,26199,25989,28571,27704,26853,24998,26116,27298,24642,24473,26792,28593,29017,34510,40173,39227,40644,41549,42982,42610,43264,43258,43878,41778,38704,38192,36963,36642,37095,38203,40200,45664,50168,51999,53565,50884,45315,46162,44362,47993,51680,53374,53802,56822,56429,56714,57509,54220,51712,52683,50708,53537,59175,63815,65082,58929,56003,57120,52388,55657,46105,40920,44038,34650,34559,35111,33987,32130,24264,22085,23615,23314,25164,20105,17435,16197,13204,11477,9652,8401,6751,5084,4213,3117,2315,2022,1545,1129,617,474,271,245,400,1621486,1621486,7000,7725,8165,8865,10116,11203,12646,13772,13472,13338,14711,14063,13866,12891,13398,13981,12705,12646,13741,14770,14736,17585,20607,20310,20996,21283,22381,22164,22420,22650,22694,21672,20146,19687,19015,18522,19232,19501,20510,22992,25491,26494,27041,25666,23173,23296,22478,24017,25965,26398,27065,28115,27813,27683,27963,25694,25732,25168,24490,25952,28517,29886,30417,27829,26580,27124,24646,25600,22210,18795,20465,15935,15924,15870,15364,14315,11035,9840,10306,10010,10471,8078,6784,6103,4818,4022,3230,2515,1972,1435,1040,756,517,442,284,172,101,59,43,34,71,1698790,1698790,6682,7252,7610,8661,9610,10619,12260,12906,12727,12651,13860,13641,12987,12107,12718,13317,11937,11827,13051,13823,14281,16925,19566,18917,19648,20266,20601,20446,20844,20608,21184,20106,18558,18505,17948,18120,17863,18702,19690,22672,24677,25505,26524,25218,22142,22866,21884,23976,25715,26976,26737,28707,28616,29031,29546,28526,25980,27515,26218,27585,30658,33929,34665,31100,29423,29996,27742,30057,23895,22125,23573,18715,18635,19241,18623,17815,13229,12245,13309,13304,14693,12027,10651,10094,8386,7455,6422,5886,4779,3649,3173,2361,1798,1580,1261,957,516,415,228,211,329,,
부산광역시 중구 (2611000000),39840,39840,86,64,70,66,86,115,119,127,148,147,154,164,163,169,156,173,180,173,196,262,301,401,522,548,613,662,685,667,678,648,650,593,494,425,399,393,347,389,351,419,442,450,521,421,428,439,429,522,553,618,649,654,654,715,679,637,634,633,583,679,788,815,835,809,815,860,731,884,690,628,673,525,586,557,549,479,436,379,416,398,463,355,285,285,246,189,162,134,112,80,73,56,56,37,44,22,14,7,2,14,8,19323,19323,52,30,37,33,54,67,68,71,76,69,80,85,78,90,80,76,93,91,96,128,135,175,245,231,262,292,333,353,343,323,344,329,271,235,211,204,184,200,180,212,253,249,284,223,245,231,225,293,288,342,362,332,327,399,350,312,331,303,305,351,381,381,394,408,386,391,348,416,343,289,313,221,259,226,229,203,186,168,178,175,177,136,112,107,86,59,53,36,35,24,20,19,20,8,7,5,0,0,1,1,1,20517,20517,34,34,33,33,32,48,51,56,72,78,74,79,85,79,76,97,87,82,100,134,166,226,277,317,351,370,352,314,335,325,306,264,223,190,188,189,163,189,171,207,189,201,237,198,183,208,204,229,265,276,287,322,327,316,329,325,303,330,278,328,407,434,441,401,429,469,383,468,347,339,360,304,327,331,320,276,250,211,238,223,286,219,173,178,160,130,109,98,77,56,53,37,36,29,37,17,14,7,1,13,7,,
부산광역시 서구 (2614000000),105286,105286,337,381,408,435,467,540,657,671,668,653,734,735,712,626,681,729,672,653,779,849,864,1125,1324,1352,1354,1338,1401,1256,1298,1219,1286,1085,1075,1004,989,928,932,1009,1048,1216,1385,1423,1545,1435,1236,1285,1252,1352,1540,1656,1641,1736,1730,1748,1754,1685,1639,1635,1677,1741,1935,2111,2343,2000,1945,1939,1885,1993,1782,1464,1670,1377,1390,1402,1289,1330,1029,921,990,1067,1094,900,782,782,604,509,471,409,280,240,193,146,97,99,67,72,23,21,24,9,17,50866,50866,194,209,198,227,229,274,346,362,343,378,368,381,360,337,322,386,349,327,378,424,426,489,657,659,621,650,698,616,650,616,670,558,565,520,517,468,518,502,519,605,701,723,794,760,616,656,663,704,788,860,849,894,904,906,904,885,834,793,834,893,999,986,1125,898,941,903,902,882,838,675,758,611,634,622,558,587,450,379,421,426,452,333,295,290,212,193,169,126,91,67,54,26,24,21,9,10,4,5,4,3,6,54420,54420,143,172,210,208,238,266,311,309,325,275,366,354,352,289,359,343,323,326,401,425,438,636,667,693,733,688,703,640,648,603,616,527,510,484,472,460,414,507,529,611,684,700,751,675,620,629,589,648,752,796,792,842,826,842,850,800,805,842,843,848,936,1125,1218,1102,1004,1036,983,1111,944,789,912,766,756,780,731,743,579,542,569,641,642,567,487,492,392,316,302,283,189,173,139,120,73,78,58,62,19,16,20,6,11,,
부산광역시 동구 (2617000000),86670,86670,359,369,318,330,332,395,437,444,427,420,475,455,439,397,442,522,432,440,504,571,588,772,827,878,940,1045,1168,1134,1224,1214,1275,1186,1067,1085,947,922,902,980,958,1121,1133,1150,1110,1185,1031,1036,1018,1153,1235,1298,1371,1444,1435,1506,1467,1425,1305,1353,1262,1388,1579,1717,1809,1656,1587,1733,1589,1643,1381,1277,1445,1185,1123,1194,1214,1094,861,793,926,881,1001,801,683,666,513,442,432,331,252,210,172,113,78,67,64,45,26,9,8,6,18,42381,42381,167,205,165,158,198,206,221,235,208,230,245,234,226,202,231,261,221,230,267,287,305,406,378,447,469,471,581,569,605,636,653,591,569,552,529,475,503,518,501,614,605,633,613,661,543,561,556,636,637,673,753,746,766,790,780,699,687,697,648,680,777,820,856,797,783,850,744,725,642,584,658,548,507,517,542,445,386,313,370,375,404,298,233,234,172,165,144,95,60,67,37,27,20,14,14,5,7,3,2,2,6,44289,44289,192,164,153,172,134,189,216,209,219,190,230,221,213,195,211,261,211,210,237,284,283,366,449,431,471,574,587,565,619,578,622,595,498,533,418,447,399,462,457,507,528,517,497,524,488,475,462,517,598,625,618,698,669,716,687,726,618,656,614,708,802,897,953,859,804,883,845,918,739,693,787,637,616,677,672,649,475,480,556,506,597,503,450,432,341,277,288,236,192,143,135,86,58,53,50,40,19,6,6,4,12,,
부산광역시 영도구 (2620000000),108294,108294,298,299,324,391,438,453,552,589,587,600,678,681,707,620,658,702,679,643,749,740,835,993,1112,1073,1132,1106,1099,1098,1099,1056,1173,1021,954,929,908,859,922,977,1022,1196,1326,1364,1446,1364,1276,1241,1316,1470,1589,1690,1706,1755,1781,1786,1922,1814,1817,1789,1672,1880,2175,2393,2508,2339,2197,2284,2181,2419,1984,1724,1915,1572,1588,1690,1560,1626,1208,1133,1147,1229,1287,1050,903,841,634,569,470,393,322,232,207,142,98,102,70,58,31,20,8,11,18,53300,53300,153,148,172,177,228,230,263,316,307,299,373,330,354,324,342,360,341,328,376,411,428,542,607,602,636,616,602,571,621,594,683,546,519,489,480,464,528,513,556,622,702,718,749,697,677,665,682,761,833,871,901,938,944,880,987,950,991,879,829,976,1074,1136,1234,1118,1085,1091,1035,1095,949,784,896,701,728,738,696,715,511,482,474,509,522,403,317,303,250,175,160,122,99,58,52,43,20,15,8,11,4,1,1,2,2,54994,54994,145,151,152,214,210,223,289,273,280,301,305,351,353,296,316,342,338,315,373,329,407,451,505,471,496,490,497,527,478,462,490,475,435,440,428,395,394,464,466,574,624,646,697,667,599,576,634,709,756,819,805,817,837,906,935,864,826,910,843,904,1101,1257,1274,1221,1112,1193,1146,1324,1035,940,1019,871,860,952,864,911,697,651,673,720,765,647,586,538,384,394,310,271,223,174,155,99,78,87,62,47,27,19,7,9,16,,
부산광역시 부산진구 (2623000000),355302,355302,1490,1597,1607,1716,1947,1999,2281,2373,2324,2245,2492,2450,2290,2214,2317,2441,2243,2219,2570,2804,3046,3936,4811,4773,5135,5492,5743,5750,5856,5837,5802,5604,4983,4888,4543,4472,4247,4419,4428,4909,5120,5227,5341,5067,4505,4471,4504,4812,5262,5408,5623,5828,5756,5773,5890,5471,5390,5551,5310,5454,6145,6719,6850,6254,5885,6011,5512,5774,4812,4248,4536,3697,3637,3725,3609,3383,2521,2353,2537,2510,2859,2236,1960,1825,1457,1287,1042,930,703,557,438,356,223,216,149,113,47,46,28,23,33,170933,170933,774,817,838,841,1034,1018,1177,1211,1160,1136,1241,1201,1187,1130,1183,1204,1128,1120,1349,1407,1436,1840,2305,2255,2414,2558,2754,2807,2815,2972,2902,2794,2551,2444,2333,2287,2203,2290,2307,2494,2644,2695,2710,2565,2343,2255,2260,2424,2691,2646,2832,2868,2865,2832,2840,2553,2627,2661,2571,2651,2902,3142,3123,2855,2743,2848,2603,2661,2376,1887,2101,1679,1683,1683,1608,1469,1102,1027,1076,1076,1139,883,757,662,519,430,354,296,244,163,142,83,55,47,30,12,5,6,3,4,5,184369,184369,716,780,769,875,913,981,1104,1162,1164,1109,1251,1249,1103,1084,1134,1237,1115,1099,1221,1397,1610,2096,2506,2518,2721,2934,2989,2943,3041,2865,2900,2810,2432,2444,2210,2185,2044,2129,2121,2415,2476,2532,2631,2502,2162,2216,2244,2388,2571,2762,2791,2960,2891,2941,3050,2918,2763,2890,2739,2803,3243,3577,3727,3399,3142,3163,2909,3113,2436,2361,2435,2018,1954,2042,2001,1914,1419,1326,1461,1434,1720,1353,1203,1163,938,857,688,634,459,394,296,273,168,169,119,101,42,40,25,19,28,,
부산광역시 동래구 (2626000000),273447,273447,1221,1366,1446,1630,1750,2041,2349,2565,2527,2484,2767,2644,2720,2392,2596,2665,2429,2302,2504,2580,2456,2743,3067,3024,2985,3137,3234,3245,3218,3333,3343,3220,3029,3065,3023,3000,3123,3258,3392,3975,4474,4446,4825,4654,3990,4094,3978,4360,4573,4581,4664,4834,4637,4657,4598,4353,3968,4134,3872,4000,4580,4868,4892,4590,4311,4424,4059,4393,3601,3222,3464,2795,2734,2725,2712,2463,1829,1703,1836,1722,1839,1530,1308,1131,939,812,716,612,504,373,302,232,193,148,107,90,47,42,15,18,26,132440,132440,614,709,779,811,900,994,1213,1314,1301,1293,1471,1340,1437,1217,1379,1384,1248,1222,1299,1322,1273,1446,1604,1565,1481,1569,1659,1679,1615,1735,1711,1662,1528,1564,1506,1504,1611,1661,1653,1901,2168,2248,2388,2247,1951,2001,1898,2108,2291,2210,2366,2339,2257,2290,2236,2020,1937,1918,1798,1870,2116,2233,2197,2160,2005,2091,1819,1941,1707,1445,1599,1247,1250,1242,1258,1130,840,817,840,741,795,641,541,460,355,301,270,171,144,93,80,61,46,29,21,16,5,11,2,1,4,141007,141007,607,657,667,819,850,1047,1136,1251,1226,1191,1296,1304,1283,1175,1217,1281,1181,1080,1205,1258,1183,1297,1463,1459,1504,1568,1575,1566,1603,1598,1632,1558,1501,1501,1517,1496,1512,1597,1739,2074,2306,2198,2437,2407,2039,2093,2080,2252,2282,2371,2298,2495,2380,2367,2362,2333,2031,2216,2074,2130,2464,2635,2695,2430,2306,2333,2240,2452,1894,1777,1865,1548,1484,1483,1454,1333,989,886,996,981,1044,889,767,671,584,511,446,441,360,280,222,171,147,119,86,74,42,31,13,17,22,,
부산광역시 남구 (2629000000),256647,256647,799,951,1019,1185,1382,1624,1889,2058,2053,2121,2329,2245,2285,2091,2139,2394,2058,2088,2226,2602,2635,3181,3887,3769,3698,3460,3336,3184,2962,2991,2970,2745,2504,2495,2322,2468,2533,2592,2743,3269,3698,3906,4041,4015,3595,3670,3509,3914,4297,4441,4364,4610,4449,4470,4412,4003,3816,3755,3717,3839,4175,4449,4824,4317,4209,4331,4001,4238,3512,3176,3528,2770,2839,2894,2732,2658,1964,1905,2082,2091,2100,1586,1481,1316,1106,937,775,663,561,365,334,229,179,154,117,90,48,39,18,17,34,125279,125279,409,467,524,597,749,824,925,1083,1059,1095,1162,1108,1175,1079,1117,1286,1041,1093,1148,1278,1235,1506,1952,2037,2103,1955,1853,1719,1567,1593,1573,1455,1315,1301,1211,1235,1324,1281,1406,1634,1859,1947,2014,1955,1820,1789,1709,2010,2203,2204,2267,2272,2173,2255,2167,1956,1897,1800,1845,1831,1980,2046,2197,2007,1938,2004,1797,1917,1642,1457,1597,1238,1253,1300,1218,1169,894,826,889,895,927,666,625,519,440,351,269,209,161,118,87,58,46,33,22,10,6,4,5,8,4,131368,131368,390,484,495,588,633,800,964,975,994,1026,1167,1137,1110,1012,1022,1108,1017,995,1078,1324,1400,1675,1935,1732,1595,1505,1483,1465,1395,1398,1397,1290,1189,1194,1111,1233,1209,1311,1337,1635,1839,1959,2027,2060,1775,1881,1800,1904,2094,2237,2097,2338,2276,2215,2245,2047,1919,1955,1872,2008,2195,2403,2627,2310,2271,2327,2204,2321,1870,1719,1931,1532,1586,1594,1514,1489,1070,1079,1193,1196,1173,920,856,797,666,586,506,454,400,247,247,171,133,121,95,80,42,35,13,9,30,,
부산광역시 북구 (2632000000),279303,279303,1277,1346,1372,1468,1663,1827,2040,2151,2056,2075,2236,2142,2116,2112,2138,2204,2092,2200,2266,2485,2447,2962,3344,3103,3364,3394,3585,3633,3642,3652,3785,3667,3356,3396,3181,3114,3069,3124,3199,3520,3914,3961,4068,3967,3420,3660,3387,3819,4102,4410,4341,4756,4997,5198,5376,5264,5097,5175,5010,5297,5751,6317,6237,5434,5008,5045,4520,4740,3891,3255,3502,2671,2784,2601,2503,2393,1843,1578,1642,1708,1895,1455,1216,1150,960,755,721,628,533,388,300,237,145,144,102,77,44,38,18,22,30,137544,137544,661,694,671,769,845,958,1037,1125,1061,1060,1174,1128,1103,1043,1096,1104,1121,1171,1165,1342,1267,1590,1816,1668,1807,1791,1902,1918,1945,1915,1956,2025,1759,1772,1614,1594,1571,1668,1718,1840,2025,2029,2045,2010,1717,1879,1730,1890,2008,2065,2065,2257,2329,2385,2477,2401,2445,2419,2369,2559,2805,3101,3038,2663,2465,2501,2207,2241,1915,1588,1712,1291,1346,1176,1115,1085,860,731,715,743,782,590,463,417,322,269,217,176,137,105,52,44,25,27,16,12,13,2,5,2,2,141759,141759,616,652,701,699,818,869,1003,1026,995,1015,1062,1014,1013,1069,1042,1100,971,1029,1101,1143,1180,1372,1528,1435,1557,1603,1683,1715,1697,1737,1829,1642,1597,1624,1567,1520,1498,1456,1481,1680,1889,1932,2023,1957,1703,1781,1657,1929,2094,2345,2276,2499,2668,2813,2899,2863,2652,2756,2641,2738,2946,3216,3199,2771,2543,2544,2313,2499,1976,1667,1790,1380,1438,1425,1388,1308,983,847,927,965,1113,865,753,733,638,486,504,452,396,283,248,193,120,117,86,65,31,36,13,20,28,,
부산광역시 해운대구 (2635000000),387297,387297,1437,1638,1872,2079,2353,2566,3016,3360,3271,3405,3722,3646,3634,3444,3669,3817,3481,3512,3640,3745,3593,4158,4532,4291,4373,4375,4612,4480,4561,4535,4592,4298,3996,4015,4022,3998,4121,4216,4634,5186,5800,6126,6495,6189,5689,5915,5824,6143,6747,6838,7081,7518,7400,7214,7118,6735,6140,6316,6093,6534,6712,7072,7113,6410,6235,6199,5754,6009,4859,4335,4682,3523,3565,3745,3591,3314,2422,2409,2502,2458,2588,2148,1875,1772,1503,1313,1118,950,748,630,491,355,278,236,197,138,74,52,33,30,49,185775,185775,719,826,973,1064,1175,1330,1548,1731,1682,1783,1932,1882,1885,1797,1846,1948,1799,1786,1842,1986,1906,2247,2409,2258,2267,2213,2393,2339,2340,2335,2279,2168,1981,2027,1972,1898,1992,2044,2265,2444,2846,2950,3078,2852,2771,2873,2911,2869,3120,3226,3403,3547,3533,3480,3361,3106,3011,2929,2861,3127,3245,3243,3342,3030,2925,2910,2774,2742,2365,1975,2102,1638,1627,1653,1616,1463,1071,1085,1121,992,1007,819,716,665,545,452,353,283,238,180,125,90,60,58,31,31,10,5,8,3,12,201522,201522,718,812,899,1015,1178,1236,1468,1629,1589,1622,1790,1764,1749,1647,1823,1869,1682,1726,1798,1759,1687,1911,2123,2033,2106,2162,2219,2141,2221,2200,2313,2130,2015,1988,2050,2100,2129,2172,2369,2742,2954,3176,3417,3337,2918,3042,2913,3274,3627,3612,3678,3971,3867,3734,3757,3629,3129,3387,3232,3407,3467,3829,3771,3380,3310,3289,2980,3267,2494,2360,2580,1885,1938,2092,1975,1851,1351,1324,1381,1466,1581,1329,1159,1107,958,861,765,667,510,450,366,265,218,178,166,107,64,47,25,27,37,,
