행정기관,남 인구수,연령구간인구수,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상,여 인구수,연령구간인구수,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상
전국  ,25643889,4051747,364103,325449,328390,279045,238488,260591,185797,198423,197376,191945,186020,142100,127878,127747,124892,143493,109066,91133,86393,71768,60121,50074,42315,32321,23774,18517,12416,9371,7648,5070,3454,1951,1388,1044,930,1256,25806940,5180467,374130,341228,357918,296709,262080,287377,208404,225259,226936,222214,224420,171324,162816,172389,174979,207707,165987,147921,146623,129449,115238,103668,94709,78166,62741,53299,39627,34329,26498,20572,14986,9238,6864,4301,3874,6487
서울특별시  ,4574781,731862,61961,56164,58225,49515,43660,47006,32652,36528,36134,35365,35176,27320,24968,24380,23637,27081,20462,16811,15401,12771,10466,8474,7244,5284,4011,3139,2091,1625,1416,956,666,337,267,203,188,278,4862055,920842,69392,64072,67997,56476,50219,54173,37925,42766,43341,42170,43346,33973,30752,30647,30065,34223,26795,23369,22313,19377,16986,14980,13512,10934,8819,7459,5561,4970,4008,3103,2327,1469,991,710,594,1028
부산광역시  ,1621486,310386,27124,24646,25600,22210,18795,20465,15935,15924,15870,15364,14315,11035,9840,10306,10010,10471,8078,6784,6103,4818,4022,3230,2515,1972,1435,1040,756,517,442,284,172,101,59,43,34,71,1698790,399375,29996,27742,30057,23895,22125,23573,18715,18635,19241,18623,17815,13229,12245,13309,13304,14693,12027,10651,10094,8386,7455,6422,5886,4779,3649,3173,2361,1798,1580,1261,957,516,415,228,211,329
대구광역시  ,1164024,185870,16766,15174,14839,12627,11461,12241,9249,9286,9593,9079,8192,5775,5300,5867,6104,6520,4912,4050,3961,3130,2664,2287,1876,1418,1041,854,526,314,260,177,127,63,54,34,23,26,1201595,248199,17998,16659,17530,14013,13849,14843,11124,11041,11806,11512,10830,7238,7250,8576,8761,9530,7900,6927,6739,5781,5144,4560,4103,3364,2601,2208,1646,1311,985,779,561,317,246,142,113,212
인천광역시  ,1484103,204544,20330,17892,17785,14671,12411,13639,8697,10087,9906,9627,9230,7246,6268,6139,5974,6506,4890,4017,3835,3244,2618,2229,1917,1393,1065,797,575,399,345,250,197,110,54,57,68,76,1480717,256779,20820,18483,19074,15700,13382,14529,9451,10846,11133,10768,11301,8829,7815,7958,8144,9575,7651,6592,6671,6004,5197,4814,4361,3594,3036,2560,2003,1702,1365,1011,778,490,380,239,183,340
광주광역시  ,707815,95728,8486,7243,7491,6142,5244,5830,4747,4869,4999,4552,4621,3760,3205,3122,2873,3748,2693,2155,2025,1730,1477,1063,961,786,510,412,268,227,198,99,78,42,27,18,12,15,724234,126453,9317,7778,8533,6976,6233,6862,5717,5839,6194,5724,6017,4517,4275,4132,3969,5210,4098,3518,3308,2976,2677,2192,2117,1847,1392,1148,887,920,564,451,319,230,164,83,113,156
대전광역시  ,721609,102530,9638,8722,8493,7282,6094,6564,4722,5256,4988,4774,4410,3459,3165,3185,2999,3620,2628,2046,2085,1815,1442,1192,989,812,595,498,286,239,165,135,90,44,34,26,12,26,725140,129205,9940,9252,9399,8141,6641,7173,5295,5888,5749,5583,5297,4069,3996,4220,4197,4992,3892,3260,3464,3046,2633,2485,2203,1810,1457,1230,918,800,602,506,345,203,167,104,96,152
울산광역시  ,570756,74910,7941,7071,6930,5867,5180,5170,4022,3925,3723,3668,3216,2288,2016,1978,2012,2152,1459,1286,1139,862,687,531,472,405,287,208,122,93,85,40,27,16,11,8,9,4,540615,87924,7943,7148,7266,5776,5329,5293,4044,4011,3875,3783,3478,2481,2304,2621,2696,3013,2209,2112,1897,1764,1510,1384,1259,1041,853,693,548,394,345,272,189,118,99,69,51,56
세종특별자치시  ,190987,17844,1709,1628,1629,1310,1046,1161,820,947,897,788,720,566,493,503,468,571,438,339,350,285,229,234,170,156,113,66,57,52,30,23,17,11,5,3,3,7,191783,22146,1780,1610,1665,1403,1079,1266,848,951,996,822,835,639,618,671,627,784,663,553,589,535,469,465,458,365,314,291,197,172,155,111,77,39,33,16,22,28
경기도  ,6836309,885418,84812,75209,74964,62593,53121,57974,37060,41180,41056,40546,40057,31341,28108,27075,26066,29777,23081,19314,18049,15307,12889,10741,8982,7020,5038,4014,2741,2140,1705,1116,711,469,305,258,245,354,6746929,1098103,85451,77247,79504,65545,56895,62381,41262,46955,46682,46353,47827,37878,35267,35939,35752,41326,33722,29745,29272,26158,23376,20942,19178,15554,12600,10715,7981,6987,5552,4370,3139,1954,1495,945,786,1368
