date,loca,avg,min,max
1907-10,108,13.9,8.3,25.4
1907-11,108,5.3,0.6,21.3
1907-12,108,-3.9,-8.7,9
1908-01,108,-3.5,-7.5,6.2
1908-02,108,-4,-8.8,8.4
1908-03,108,2.9,-1.7,18.2
1908-04,108,10.1,4.6,22.9
1908-05,108,14.9,10,25.2
1908-06,108,20.7,16.3,32.4
1908-07,108,23.5,20.3,32.9
1908-08,108,24.3,21,33.6
1908-09,108,19.3,14.7,28.7
1908-10,108,13.6,7.7,25.3
1908-11,108,3.6,-1.5,18.9
1908-12,108,-0.8,-6,11.7
1909-01,108,-2.5,-7.3,7.6
1909-02,108,-3.2,-8.6,8.8
1909-03,108,1.8,-3.1,15.2
1909-04,108,10.4,4.6,23.3
1909-05,108,15.4,10.2,29.8
1909-06,108,20.6,15.8,31.7
1909-07,108,24.6,21.4,31.8
1909-08,108,25.3,22.3,35.6
1909-09,108,20.2,15.8,29.5
1909-10,108,12.2,6.6,26.5
1909-11,108,5.2,-0.8,20.3
1909-12,108,-3.4,-7.8,11
1910-01,108,-2.2,-5.6,8
1910-02,108,-3.4,-8.2,8.3
1910-03,108,2.5,-2.6,15
1910-04,108,9.9,4.3,23
1910-05,108,16.3,10.1,31
1910-06,108,19.8,15.6,31.5
1910-07,108,23.3,20.5,33.3
1910-08,108,24.2,20.8,32
1910-09,108,19.1,14.9,27
1910-10,108,13.7,7.2,24.1
1910-11,108,5.5,0.6,20.2
1910-12,108,-4.6,-9.4,5.8
1911-01,108,-5,-10,8.8
1911-02,108,-1.1,-5.4,12.5
1911-03,108,4,0,19.1
1911-04,108,9.4,4.3,24.1
1911-05,108,15.6,9.7,30
1911-06,108,20.3,15.9,30.6
1911-07,108,23.5,20.2,31
1911-08,108,25,21,34.5
1911-09,108,20.8,16.7,32.8
1911-10,108,11.6,5.9,22.9
1911-11,108,6,1.3,15.7
1911-12,108,-3,-7.9,9.5
1912-01,108,-4.7,-10.1,5.4
1912-02,108,1,-3.6,14.7
1912-03,108,4.1,-1,16.3
1912-04,108,9.8,4.2,23.1
1912-05,108,14.8,9.5,29.7
1912-06,108,20.7,15.8,30
1912-07,108,23.8,19.8,32.2
1912-08,108,24.6,21.2,34
1912-09,108,17.7,12.1,32.2
1912-10,108,11.1,4.7,25.7
1912-11,108,1.4,-3.8,16.5
1912-12,108,-3,-7.9,8.8
1913-01,108,-5.1,-10.6,6.3
1913-02,108,-3.7,-8.9,11.5
1913-03,108,1.9,-3.9,18.4
1913-04,108,10.9,5.2,25.6
1913-05,108,14.4,9.4,30
1913-06,108,20.2,16.1,30.8
1913-07,108,22.3,18.8,30.7
1913-08,108,23.8,19.7,31.7
1913-09,108,19.3,13.7,30
1913-10,108,13,7.2,30.1
1913-11,108,4.9,-1.2,17.6
1913-12,108,-1.9,-6.6,10.9
1914-01,108,-2.2,-6.2,9.2
1914-02,108,0.5,-3.8,12.3
1914-03,108,5.2,0.7,17.1
1914-04,108,10.5,5.8,24.8
1914-05,108,17.3,11.8,29.1
1914-06,108,21.4,17.4,35
1914-07,108,26.1,23.1,35.6
1914-08,108,25.5,22.3,34.4
1914-09,108,20.6,16.3,32.4
1914-10,108,13.7,8.9,24.1
1914-11,108,6.1,1.5,21.1
1914-12,108,-1,-5.2,14.1
1915-01,108,-3.9,-8.5,12
1915-02,108,-2.7,-7,11
1915-03,108,0.6,-3.5,16.7
1915-04,108,9.4,4.4,22.3
1915-05,108,15.3,10.7,28.3
1915-06,108,20.7,16.8,30.5
1915-07,108,25.1,22.1,33.9
1915-08,108,24.4,21,34.8
1915-09,108,19.3,15.1,27.9
1915-10,108,14.7,10,26.8
1915-11,108,6.2,1.4,17.8
1915-12,108,0.8,-3.9,13.5
1916-01,108,0,-4.2,12.2
1916-02,108,-0.8,-5,12
1916-03,108,0.4,-4.5,14.2
1916-04,108,10.5,6,24.2
1916-05,108,14.5,9.4,29.7
1916-06,108,20.1,15.7,32.2
1916-07,108,23.6,19.9,33.2
1916-08,108,25.5,21.6,33
1916-09,108,19.2,15.6,28.2
1916-10,108,12.7,7.3,22.9
1916-11,108,6.5,1.5,23.3
1916-12,108,-1.4,-6.3,11.6
1917-01,108,-9,-14.4,2.9
1917-02,108,-3.4,-8.8,10.8
1917-03,108,2.8,-2.2,18.9
1917-04,108,10.2,4.1,22.2
1917-05,108,14.1,9,26.5
1917-06,108,21.5,15.8,36.7
1917-07,108,25.7,21.6,36.6
1917-08,108,24.8,20.7,36.6
1917-09,108,20,15.8,29.6
1917-10,108,13.2,7.6,24.5
1917-11,108,3.3,-1.3,18.1
1917-12,108,-5.7,-10.2,10.9
1918-01,108,-7.5,-13.4,5.6
1918-02,108,0.1,-4.7,14.4
1918-03,108,4.3,-1.1,18.9
1918-04,108,10.9,5.3,26.3
1918-05,108,14.8,10,26.8
1918-06,108,20.1,15.4,31.5
1918-07,108,23.3,19.7,36.1
1918-08,108,24.7,20.9,35.2
1918-09,108,19.2,14.4,29.9
1918-10,108,12.9,6.8,25
1918-11,108,4.6,0,20.4
1918-12,108,-1.5,-6.1,9.7
1919-01,108,-4.7,-9,7.2
1919-02,108,-1.7,-7.3,13.3
1919-03,108,4.9,-0.5,21
1919-04,108,10.2,4,22.9
1919-05,108,16.1,10.4,28.3
1919-06,108,21,16.8,30
1919-07,108,25.6,21.5,35.9
1919-08,108,26.3,21.7,37.5
1919-09,108,19.5,14.6,28.8
1919-10,108,12.8,7.3,26.3
1919-11,108,5.8,0.2,19.9
1919-12,108,-2.7,-7.9,8.5
1920-01,108,-6.8,-12.7,7.5
1920-02,108,-3.2,-7.5,8.5
1920-03,108,5.1,0.2,22.2
1920-04,108,10.4,4.3,22.3
1920-05,108,17.3,11.5,29.3
1920-06,108,21.6,16.3,35.6
1920-07,108,25.2,21.6,34.3
1920-08,108,25,21.2,33.6
1920-09,108,21.1,16.6,33
1920-10,108,14.7,8.6,25.9
1920-11,108,7.3,1.8,21.9
1920-12,108,-1.2,-6.3,12.9
1921-01,108,-2.7,-7.5,8.5
1921-02,108,-1.3,-6.2,9.5
1921-03,108,3.3,-1.5,17
1921-04,108,10.9,5.3,28.3
1921-05,108,16.2,10.8,26.7
1921-06,108,20.1,15.1,32.7
1921-07,108,24,20.6,32.3
1921-08,108,25.6,21.8,36
1921-09,108,19.8,15.2,30.8
1921-10,108,12.3,6.8,24
1921-11,108,3.4,-1.5,17.2
1921-12,108,-0.7,-5.4,11.7
1922-01,108,-7.8,-13.1,4
1922-02,108,0.7,-4.4,12.4
1922-03,108,2.7,-2.4,14.5
1922-04,108,12.3,5.9,28.4
1922-05,108,16,10.7,32
1922-06,108,21.7,16.3,34.5
1922-07,108,24.1,21,34.5
1922-08,108,25.8,22.6,36.3
1922-09,108,20.7,16.3,32.5
1922-10,108,14.1,8.5,25.2
1922-11,108,3.5,-1.5,19.1
1922-12,108,-3.9,-9.2,8.5
1923-01,108,-5.8,-10.8,4.3
1923-02,108,-3,-7.8,9.5
1923-03,108,4.8,-0.4,19.5
1923-04,108,9.3,4.1,23
1923-05,108,16.6,11.4,27.7
1923-06,108,20.9,15.3,33
1923-07,108,24.2,20.5,32.3
1923-08,108,26.1,22.6,35.9
1923-09,108,19.4,14.6,30.4
1923-10,108,12.5,6.8,22.1
1923-11,108,4.7,-0.4,16.7
1923-12,108,-2.1,-7,8.9
1924-01,108,-2.5,-8,9.2
1924-02,108,-1.8,-6.4,12.1
1924-03,108,1.1,-4.1,20.2
1924-04,108,11.1,5.3,24.5
1924-05,108,16,10.3,26.5
1924-06,108,21.2,15.5,33.4
1924-07,108,25.6,22.2,35.4
1924-08,108,27,22.4,37.4
1924-09,108,20.3,15.2,32.4
1924-10,108,12.6,6.1,26.2
1924-11,108,3.3,-2,16.5
1924-12,108,-1.6,-6.6,10.7
1925-01,108,-4.1,-9.3,6
1925-02,108,-2.9,-8.2,7.7
1925-03,108,1.5,-3.3,12.1
1925-04,108,9.8,3.8,23
1925-05,108,16.1,11.2,29.6
1925-06,108,20.6,15.7,30.3
1925-07,108,23.3,19.5,33.7
1925-08,108,25.2,21.5,33.6
1925-09,108,19.8,15,30
1925-10,108,13.3,7.2,23.8
1925-11,108,7.4,2.4,18.6
1925-12,108,-1.4,-6.1,14.1
1926-01,108,-4.8,-9.6,6.2
1926-02,108,-2.5,-7.6,7.7
1926-03,108,3.1,-2.4,19.4
1926-04,108,9.1,3.2,20.3
1926-05,108,16.7,12,25.8
1926-06,108,20.7,15.2,31.6
1926-07,108,24.1,20.3,33
1926-08,108,25.4,22,33
1926-09,108,20.3,15.9,30
1926-10,108,11.5,6,23.6
1926-11,108,6.3,0.7,17.5
1926-12,108,-4,-8.6,12.5
1927-01,108,-4.1,-9.1,11.7
1927-02,108,-2.9,-7.6,9.7
